,pi_AZ,pi_TXMXSA,DXY,PnPs
D8B26_000151,0.0008130322836205151,0.00020202020202020202,0.0005540701128936423,
D8B26_000154,0.0010308867095398001,0.0009422850412249711,0.0009479538683446395,0.1524816259867144
D8B26_000155,0.0007315590450578521,0.000952881415309161,0.000833565165425077,
D8B26_000156,0.0002607926483359005,0.0002742355683532154,0.00026213694033763236,
D8B26_000157,0.0006873513602683389,0.0007478382799719557,0.0007010983874737088,0.4216602838476466
D8B26_000158,0.0011497084667816389,0.00128110372012811,0.001260814747184905,0.1369456467429385
D8B26_000159,0.0002529534289022997,0.00032251562185043356,0.0002964297994948836,0.1005369026013115
D8B26_000160,,0.0003447650154236978,,0.15263193153049048
D8B26_000161,0.0018083649797204652,0.0014163372859025034,0.0017776873595287917,2.569303521417179
D8B26_000162,0.00036389791526295816,0.0005219660722053066,0.00047761601378263355,0.36803868887690777
D8B26_000163,0.0008243410052286163,0.0008523855961281465,0.0008944524824774421,
D8B26_000164,0.0015844721727074583,0.0016161616161616164,0.0021984551396316103,
D8B26_000165,0.00014807269709230536,0.0003848003848003847,0.00026172084995614405,
D8B26_000166,0.0007050019754054283,0.0006663493574488339,0.0007740245074707656,0.5936774530607413
D8B26_000167,0.0007416210030589097,0.0010774410774410767,0.0011520433089060541,0.288542517754961
D8B26_000168,0.0015787146430101312,0.0013037350246652576,0.0015519421299175062,0.2773940739310613
D8B26_000169,0.0013917765158816475,0.002046849909912214,0.0017756730113804092,0.5022619562166953
D8B26_000170,0.0028381785403787455,0.002788951461517833,0.003157551569836838,1.1554233506849754
D8B26_000171,0.004022578728461111,0.005939393939393942,0.005409982174688057,0.4163371714098356
D8B26_000172,0.0006289308176100629,0.0007547169811320754,0.0006911512460902028,0.13184777815245796
D8B26_000173,0.0016755337918285958,0.0011610356437942644,0.0014342205011576208,
D8B26_000174,0.0009602325778796341,0.0007936507936507933,0.0009151387827858416,0.6851421349380743
D8B26_000175,0.0011381419832124106,0.0017072129748186098,0.0017661023353622975,1.3305395495020609
D8B26_000176,,0.0008099427454266167,,0.2416573540788606
D8B26_000177,0.0010299069122598576,0.0007346189164370981,0.0009128720358666883,
D8B26_000178,0.000732755102234521,0.0012779552715654952,0.001537646717124259,0.5643491223592257
D8B26_000180,0.0004556140338516545,0.00023954964666427124,0.00035227889215333995,0.29634859794224516
D8B26_000181,0.0005558430605868932,0.0005331911490269258,0.000530577466923853,0.16856878470077785
D8B26_000182,0.0005280160211511727,0.0013756407760690424,0.0009370693965731124,0.3407172003986165
D8B26_000183,0.0012216280451574529,0.0012121212121212121,0.0013333333333333333,0.0
D8B26_000184,0.0014929071979027722,0.0005481955230698947,0.0010569782961151568,0.10980262432460335
D8B26_000185,0.00030667203342725144,0.0009042033235581617,0.0006109481915933529,1.3251301883058977
D8B26_000186,0.001041167120593813,0.0010466072737898462,0.00106680420206846,0.2756268780324428
D8B26_000187,0.0010943476297738633,0.0007627901433211164,0.0010104515570418745,0.18694364815927886
D8B26_000188,0.001011099627016579,0.0009676597911892032,0.0013593672763222936,0.17437289079075236
D8B26_000189,0.006729746360142279,0.0061433962989358255,0.00845006137088368,
D8B26_000190,0.002290689180141657,0.0025871926815323044,0.00256343961255171,0.23436477948697845
D8B26_000191,0.0018921866737175918,0.006080119475112127,0.004164769277474195,inf
D8B26_000192,0.0016479279757406608,0.004001176816710792,0.0029218512942099464,
D8B26_000193,0.007156410951477355,0.00809212573918456,0.007811009708542915,0.4248132074626762
D8B26_000194,0.0069839284573195454,0.005575467941059339,0.00636780753968254,0.7396073903001079
D8B26_000195,0.0018568033273915576,0.0012121212121212117,0.001507724301841949,
D8B26_000197,0.0036448772181871445,0.000904568068747173,0.002647191848245404,1.0007923930267892
D8B26_000198,0.000476036595747638,0.0,0.0002484424569047892,0.3186435827728792
D8B26_000199,,0.0014401440144014396,,0.9190640694397997
D8B26_000200,0.0014587791902376602,0.0017800381436745083,0.0015986687109681762,0.6843706053568627
D8B26_000201,0.0015801997130738179,0.001979735723957604,0.0018923944420182978,0.6412603690394778
D8B26_000202,0.004166046590374626,,,0.639707174231131
D8B26_000203,,0.0029629629629629624,,1.184309511015411
D8B26_000204,0.0005044811780877008,0.00015132599402262322,0.00033380733975578653,0.4246793539100433
D8B26_000205,0.0021801727684080566,0.0019580419580419593,0.0022144522144522147,
D8B26_000206,0.00045469888054809263,0.00028453549580310147,0.0003724067518599416,
D8B26_000207,0.0003140935998927677,0.0013876135088256298,0.0009872942136756753,
D8B26_000208,0.001288292167946791,0.0016309887869520908,0.0016435264681352107,0.7709459104977535
D8B26_000209,0.0013114336643748371,0.002640692640692639,0.002457346574993634,0.166713522631407
D8B26_000210,0.0017091304388832148,0.003011481272350838,0.0025440127741918023,0.4726994779164616
D8B26_000211,0.0023106885851984075,0.0009182736455463726,0.0016925043663011576,
D8B26_000212,0.004033641049422947,0.0036462182803646184,0.0039346115386287555,
D8B26_000213,0.001074371010018612,0.0018116449549423343,0.0015380854681135657,0.19972899728993615
D8B26_000214,,,,0.8608115048791696
D8B26_000215,0.0013226622169422702,0.0009640262271841224,0.0012269235179451898,0.190947657623043
D8B26_000216,0.001968828991324454,0.0019002375296912103,0.001898967317438744,0.11637205923582333
D8B26_000217,0.0033910429319509022,0.0036838978015448593,0.003664091899386017,0.39878402354054276
D8B26_000218,0.0008934420699126556,0.0005328005328005329,0.000739456621809563,0.47000816954197094
D8B26_000219,0.00121629535634931,0.000810594278712474,0.00109225084067276,0.1916950014724817
D8B26_000220,0.0014463388116174503,0.001663143058491896,0.0020478381627492435,0.4697193787593871
D8B26_000222,0.0004911840825153511,0.0,0.0002585649644473174,0.0
D8B26_000223,,0.0013657703798548874,,0.23198151363598749
D8B26_000224,0.0014473543885308558,0.001554001554001555,0.0014740161798985328,
D8B26_000225,0.0012278559582507625,0.001507760532150777,0.001336898395721925,2.6360212522692956
D8B26_000226,0.0006106059236989009,0.0011171624074849886,0.0012773437820876152,
D8B26_000227,0.0021988886509906507,0.0005717552887364208,0.0018161638583392191,0.31204442901763546
D8B26_000228,0.0003521049272683265,0.0,0.00018155410312273057,
D8B26_000229,0.00043212877437476054,0.0008699434536755118,0.0007391676403778853,0.5837069421624734
D8B26_000230,0.0010675557427930642,0.0017558045512302176,0.0013544519112947246,0.297339807946401
D8B26_000231,0.0008259613067480544,0.0010695187165775393,0.0011534025374855825,0.5347592364162661
D8B26_000232,0.006760550726590738,0.00020826824950536288,0.003709012502220507,0.6089392720951601
D8B26_000233,0.0009961382617924865,0.0003008811519449817,0.0006589676489551333,0.8098767191618266
D8B26_000234,0.00045742202604947705,0.00048100048100048096,0.00047392694451517983,0.3298797023850115
D8B26_000235,0.0008965707495119236,0.0008225108225108225,0.0014371657754010695,0.16465648884620698
D8B26_000236,0.00011334013374135773,0.0,5.667006687067891e-05,inf
D8B26_000237,0.0010153800879921192,0.00022913444463538987,0.000660446340419653,0.25253879602927526
D8B26_000238,0.001002226374302923,0.0005354752342704152,0.0009852243197388485,0.1532255840747334
D8B26_000239,0.0,0.0,0.0,inf
D8B26_000240,5.053567818880131e-05,0.0004686035613870667,0.0004157708069169561,inf
D8B26_000241,0.0009273880241622213,0.0006617038875103396,0.0008603035168500065,1.0279857669888777
D8B26_000242,0.000556536888716818,0.0002742355683532154,0.00044764923657657224,
D8B26_000243,0.0011757120643228248,0.0,0.0006257822277847309,0.6847169811319638
D8B26_000245,0.0005327489847613639,0.0006835269993164729,0.0007220591585916663,0.3199351754446013
D8B26_000246,0.0012538883646150047,0.0012477718360071298,0.0018087448883296635,0.10996001454014856
D8B26_000247,0.001253568685419484,0.0007095343680709535,0.0012238598321812095,0.5003838972916257
D8B26_000248,0.0010342161462023598,0.0007607455306200072,0.0009397444790011859,0.433794763767583
D8B26_000249,0.0008984243569644059,0.0005111354508944869,0.0007248244314155016,0.23106500064451432
D8B26_000250,0.0007250174172788907,0.00020637705087194313,0.00048255810424469036,0.4197426741076491
D8B26_000251,0.0007962748102849829,0.0007835285975579611,0.0008752722503802055,0.3784669658988936
D8B26_000252,0.0025030649006821722,0.0022094361334867663,0.0025857984160292426,0.7171062182432525
D8B26_000253,0.0007849832207744346,0.001195049082373026,0.0014034294895935327,
D8B26_000254,0.0007330527692518669,0.0011475703783396095,0.001147043002246622,0.1572382761213757
D8B26_000255,0.00032954358213873756,0.0,0.00016477179106936892,inf
D8B26_000256,0.000376435159043853,0.0001254783863479516,0.0002989338027701199,inf
D8B26_000257,0.0005941770647653032,0.0004303388918773534,0.0006043730025630478,0.3233603435140366
D8B26_000258,0.001363843634705461,0.0017758985200845663,0.0018716577540106951,inf
D8B26_000259,0.0009598244892362515,0.0005827505827505828,0.0007541478129713424,0.0
D8B26_000260,,,,1.3379473113475446
D8B26_000261,0.001525054466230937,,,0.870539459947044
D8B26_000262,,,,0.9823422487664295
D8B26_000263,0.0019903180656676493,0.00023813776269571943,0.0012554762930355211,1.835388591004668
D8B26_000264,0.001518310673551724,0.0004556846662109819,0.0013488649048136,0.8128692794460606
D8B26_000265,0.003699459581812513,0.002405002405002406,0.00439620292561469,
D8B26_000267,0.0009857507561063447,0.00027361652643819687,0.0007082378405907818,0.3301965621517826
D8B26_000268,0.0008046147752030085,0.0006313131313131315,0.0007241532976827095,1.577016564637729
D8B26_000269,0.001740036724168388,0.0003802136800882096,0.001136167938145944,
D8B26_000270,0.0,0.0,0.0,inf
D8B26_000271,,0.0008954985208283356,,0.3974138844726302
D8B26_000272,0.0006241442558578055,0.0002108036890645586,0.0004464078121367124,
D8B26_000273,0.0012294467489629664,0.0003398470688190314,0.0008846019291318906,
D8B26_000274,0.000586422714817305,9.886796183696672e-05,0.00038529426304112035,0.23604690346558743
D8B26_000275,,0.0007309941520467837,,1.0693637832406777
D8B26_000276,0.000831339715751928,0.003363374895325014,0.002114946043394616,1.6019121455576788
D8B26_000277,0.0013682809871708073,0.0007682458386683739,0.001145912910618793,0.4526677825884734
D8B26_000278,0.0005863967285940097,0.00023119478160350086,0.0006359825323270892,0.5686267426854859
D8B26_000279,0.001212194567314396,0.0,0.0008169934640522876,0.10055797358718302
D8B26_000280,0.0007403177020538569,0.0007453172501716192,0.0007989662472814958,0.0
D8B26_000281,0.0015853149770546535,0.0002578981302385558,0.0012022604012591497,1.6043165467623344
D8B26_000282,0.0007259857760756856,0.0002540690750297736,0.0006406214728845091,0.3117681638120272
D8B26_000283,0.0008528807071232823,0.00010726736390453204,0.0005536888930954522,
D8B26_000284,0.000734519500308019,0.0003718163227365682,0.0005659263147534529,1.7736925989999128
D8B26_000285,,0.0,,inf
D8B26_000286,0.0006999652662071916,0.00017983994245121846,0.00046017867627223537,0.1544757691610668
D8B26_000287,0.0003897133883925289,0.00040761598283722177,0.0006278295710882905,
D8B26_000288,0.00039080102246308237,0.0,0.00019739439399921041,
D8B26_000289,0.005065946063076603,0.0010822510822510823,0.0045889567948391476,0.3200207648381664
D8B26_000290,0.000628456510809451,0.0,0.000314228255404726,
D8B26_000291,0.00046262494710508736,0.0002236386000223639,0.00036505712650709393,
D8B26_000292,0.0002980026509438282,0.0008951048951048946,0.0009899904017551075,0.0
D8B26_000293,0.0010084525091975571,0.000994261066637424,0.0012331503497330504,0.3302880904751635
D8B26_000294,0.00021214049762099623,9.367242752095922e-05,0.00015290646257097752,0.2326478873239038
D8B26_000295,0.0007050235423937827,0.0009778456837280364,0.0010450350385319347,
D8B26_000296,0.0007557009270315936,0.00048753835161602143,0.0006539244117770674,0.4145930271763959
D8B26_000297,0.0006802986622651707,0.0007204474357759028,0.0010353179095128429,0.23103065717287766
D8B26_000298,0.0005070725735955183,0.0,0.000256647161482394,1.0587804111835137
D8B26_000299,5.554629783924904e-05,0.0,2.7773148919624506e-05,inf
D8B26_000300,0.0003571300468011898,0.0010498687664041992,0.0013357287558306548,0.6062399139320921
D8B26_000301,0.0021401911750284085,0.0,0.001237388159147154,0.42255256241776484
D8B26_000302,0.001658833590524355,0.0008417508417508417,0.0012750049514755398,0.572075927697357
D8B26_000303,0.0004997751012044561,0.0,0.0002748763056624519,1.3072025507974223
D8B26_000305,0.0008394795226959231,0.0003706792697618386,0.000659591053546801,0.7615561673215232
D8B26_000306,0.0008871311642917353,,,0.2031195130770874
D8B26_000307,0.0007418353810588672,0.0003614675582866439,0.0005989021308866941,0.313652884080844
D8B26_000308,0.0008525604010276727,0.0006828851899274439,0.000792410434084005,0.3911898915218407
D8B26_000309,0.004993708713431883,0.0008912655971479499,0.0037682185173534655,0.6928718099148324
D8B26_000310,0.0021510713990237303,0.0015343306482546988,0.002008168054333356,
D8B26_000311,0.0008013166470321019,0.00015728216420257937,0.0005435486557000907,
D8B26_000312,0.0007897290101310893,0.00019179133103183733,0.0005302466210880209,0.3208148901657281
D8B26_000313,0.0024672390596812287,0.0017064484226200398,0.0021561813829892454,3.7747872357729904
D8B26_000314,0.001696794235286152,0.00036607687614399016,0.001127540705116702,0.2332450990291312
D8B26_000315,0.0013654800837966767,0.0009197667734253102,0.0011642005903124985,0.4155614669575306
D8B26_000316,0.0010844397549752349,0.0005979073243647235,0.0011710350671047056,0.26990576965215285
D8B26_000317,0.004370802499144758,0.0,0.0024509803921568627,
D8B26_000318,0.0033152136705537757,0.0007628734901462173,0.0022001171733792057,inf
D8B26_000319,0.0008479401861754742,0.00021043771043771043,0.000547756981580511,0.6983546617914921
D8B26_000320,0.0035631014081800422,0.0038003800380038,0.0039768682750628,0.28316495137374464
D8B26_000321,0.0006812547380498655,0.0003134796238244512,0.0009027905833179667,0.0
D8B26_000322,0.001874128470000076,0.0005654926547421477,0.0016252490300933207,1.1253955574670171
D8B26_000323,0.0011544487965552191,0.00019276015534200767,0.000809559302928587,0.25190522707175744
D8B26_000324,0.001321847655094615,0.0015485248965425174,0.0014213134192403434,0.33533747090762456
D8B26_000325,0.0015233151377127307,0.000583741093656108,0.001229593047623376,0.4863025520896785
D8B26_000326,0.00038740344622697505,0.0006787878787878785,0.0010445632798573975,0.11090510506307015
D8B26_000327,0.0028543800170097674,0.0020202020202020206,0.002499038831218762,0.34875297300832714
D8B26_000328,0.002511672635748834,0.0016528925619834702,0.001962787157764025,inf
D8B26_000329,0.002432164785105965,0.002004040404040404,0.002127153891859774,0.3761643846517377
D8B26_000330,0.0010282465372285757,0.001524224278715296,0.002268190890945382,
D8B26_000331,0.0011167665313661123,0.000559815017646343,0.0008304161387081302,0.34685961245522856
D8B26_000332,0.0013508244206773578,0.0,0.0006893382352941177,0.33557337582481883
D8B26_000333,0.0011444982033217295,0.0005483405483405486,0.0009358288770053476,
D8B26_000334,0.00037685160138810776,0.00023582124749439926,0.00030171247841195197,
D8B26_000335,0.00043091219561808,0.000273000273000273,0.0004657063480592892,0.0
D8B26_000336,0.0008852542210933478,0.0003227159776680546,0.0006691610713411126,
D8B26_000337,0.0011394415180251292,0.0001700824900076537,0.0009304512688653997,0.33534638274220435
D8B26_000338,0.0012251832864375383,0.0,0.0006887052341597796,
D8B26_000339,0.0005827779843861102,0.0,0.00030563784266704285,0.733793720424585
D8B26_000340,0.00043681510240736667,0.0,0.00022383382576775002,0.1466835992787157
D8B26_000341,0.0001719986240110079,0.00026581605528973947,0.0002189073396503737,
D8B26_000342,0.001334095673718318,0.0015246807699637896,0.002258993934909584,0.4233033654227455
D8B26_000343,,0.0,,1.7315716272597386
D8B26_000344,0.001234277446070122,0.00025943141282023564,0.0014063132549528296,
D8B26_000345,0.0010411602657591913,0.00013774104683195588,0.0006704748014908443,0.3287108930672827
