# This file was produced by bcftools (1.10.2-128-gd1b74cd+htslib-1.10.2-137-g34ba6c7), the command line was:
# 	 bcftools gtcheck  all_strains_biallelic_SNPs_no_missing.recode.vcf.gz
# and the working directory was:
# 	 /Users/clairedubin/cocci/popgen/popgen_paper/isolate_and_pop_info
#
INFO	Time required to process one record .. 0.000013 seconds
# DC, discordance:
#     - query sample
#     - genotyped sample
#     - discordance (number of mismatches; smaller is better)
#     - negative log of HWE probability at matching sites (rare genotypes mataches are more informative, bigger is better)
#     - number of sites compared (bigger is better)
#DC	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]-log P(HWE)	[6]Number of sites compared
DC	Tucson_14	Tucson_2	3.183969e+05	1.569720e+06	262428
DC	Tucson_14	Tucson_3	2.932522e+05	1.580893e+06	262428
DC	Tucson_14	Tucson_4	2.932126e+05	1.580926e+06	262428
DC	Tucson_14	Tucson_5	3.060176e+05	1.564884e+06	262428
DC	Tucson_14	Tucson_6	3.091966e+05	1.571764e+06	262428
DC	Tucson_14	Tucson_7	3.449677e+05	1.558753e+06	262428
DC	Tucson_14	Tucson_8	2.873993e+05	1.576449e+06	262428
DC	Tucson_14	Tucson_9	2.822198e+05	1.574705e+06	262428
DC	Tucson_14	Tucson_10	2.987585e+05	1.567083e+06	262428
DC	Tucson_14	Tucson_11	3.097908e+05	1.566057e+06	262428
DC	Tucson_14	Tucson_12	2.742971e+05	1.578499e+06	262428
DC	Tucson_14	Tucson_13	2.738217e+05	1.580580e+06	262428
DC	Tucson_15	Tucson_1	2.955696e+05	1.573827e+06	262428
DC	Tucson_15	Tucson_2	3.386493e+05	1.564109e+06	262428
DC	Tucson_15	Tucson_3	2.827645e+05	1.581426e+06	262428
DC	Tucson_15	Tucson_4	2.827249e+05	1.581459e+06	262428
DC	Tucson_15	Tucson_5	3.009174e+05	1.564357e+06	262428
DC	Tucson_15	Tucson_6	3.117220e+05	1.569389e+06	262428
DC	Tucson_15	Tucson_7	3.472157e+05	1.556343e+06	262428
DC	Tucson_15	Tucson_8	2.951932e+05	1.573119e+06	262428
DC	Tucson_15	Tucson_9	3.017988e+05	1.569246e+06	262428
DC	Tucson_15	Tucson_10	3.088698e+05	1.563475e+06	262428
DC	Tucson_15	Tucson_11	3.100384e+05	1.564134e+06	262428
DC	Tucson_15	Tucson_12	2.761292e+05	1.577103e+06	262428
DC	Tucson_15	Tucson_13	2.917766e+05	1.575661e+06	262428
DC	Tucson_15	Tucson_14	2.907466e+05	1.574512e+06	262428
DC	Tucson_16	Tucson_1	2.839034e+05	1.579799e+06	262428
DC	Tucson_16	Tucson_2	2.762580e+05	1.580311e+06	262428
DC	Tucson_16	Tucson_3	3.015809e+05	1.580508e+06	262428
DC	Tucson_16	Tucson_4	3.015413e+05	1.580541e+06	262428
DC	Tucson_16	Tucson_5	3.168024e+05	1.563926e+06	262428
DC	Tucson_16	Tucson_6	2.835171e+05	1.579024e+06	262428
DC	Tucson_16	Tucson_7	2.805263e+05	1.573652e+06	262428
DC	Tucson_16	Tucson_8	2.919251e+05	1.577179e+06	262428
DC	Tucson_16	Tucson_9	3.179611e+05	1.568851e+06	262428
DC	Tucson_16	Tucson_10	3.038785e+05	1.568285e+06	262428
DC	Tucson_16	Tucson_11	3.240814e+05	1.564222e+06	262428
DC	Tucson_16	Tucson_12	2.968273e+05	1.575595e+06	262428
DC	Tucson_16	Tucson_13	2.934205e+05	1.578667e+06	262428
DC	Tucson_16	Tucson_14	3.046114e+05	1.574312e+06	262428
DC	Tucson_16	Tucson_15	3.157725e+05	1.570154e+06	262428
DC	Tucson_17	Tucson_1	2.535594e+05	1.585587e+06	262428
DC	Tucson_17	Tucson_2	3.224870e+05	1.569896e+06	262428
DC	Tucson_17	Tucson_3	2.878152e+05	1.582700e+06	262428
DC	Tucson_17	Tucson_4	2.877756e+05	1.582733e+06	262428
DC	Tucson_17	Tucson_5	2.987585e+05	1.566748e+06	262428
DC	Tucson_17	Tucson_6	3.093650e+05	1.572493e+06	262428
DC	Tucson_17	Tucson_7	3.483447e+05	1.558703e+06	262428
DC	Tucson_17	Tucson_8	2.603927e+05	1.582816e+06	262428
DC	Tucson_17	Tucson_9	2.983722e+05	1.572013e+06	262428
DC	Tucson_17	Tucson_10	2.666814e+05	1.574883e+06	262428
DC	Tucson_17	Tucson_11	3.199418e+05	1.564558e+06	262428
DC	Tucson_17	Tucson_12	2.869239e+05	1.577034e+06	262428
DC	Tucson_17	Tucson_13	2.849036e+05	1.579219e+06	262428
DC	Tucson_17	Tucson_14	2.978176e+05	1.575244e+06	262428
DC	Tucson_17	Tucson_15	2.998280e+05	1.572708e+06	262428
DC	Tucson_17	Tucson_16	3.013532e+05	1.575825e+06	262428
DC	Tucson_18	Tucson_1	2.652751e+05	1.585651e+06	262428
DC	Tucson_18	Tucson_2	2.892413e+05	1.580252e+06	262428
DC	Tucson_18	Tucson_3	2.831111e+05	1.586672e+06	262428
DC	Tucson_18	Tucson_4	2.830715e+05	1.586705e+06	262428
DC	Tucson_18	Tucson_5	2.874191e+05	1.572095e+06	262428
DC	Tucson_18	Tucson_6	2.809126e+05	1.581896e+06	262428
DC	Tucson_18	Tucson_7	3.342324e+05	1.564502e+06	262428
DC	Tucson_18	Tucson_8	2.720292e+05	1.583236e+06	262428
DC	Tucson_18	Tucson_9	2.953913e+05	1.575903e+06	262428
DC	Tucson_18	Tucson_10	2.746140e+05	1.576331e+06	262428
DC	Tucson_18	Tucson_11	3.133362e+05	1.568929e+06	262428
DC	Tucson_18	Tucson_12	2.628488e+05	1.584538e+06	262428
DC	Tucson_18	Tucson_13	2.441512e+05	1.590971e+06	262428
DC	Tucson_18	Tucson_14	2.830121e+05	1.580755e+06	262428
DC	Tucson_18	Tucson_15	2.884490e+05	1.577984e+06	262428
DC	Tucson_18	Tucson_16	2.830616e+05	1.582766e+06	262428
DC	Tucson_18	Tucson_17	2.646215e+05	1.585647e+06	262428
DC	Tucson_19	Tucson_1	2.899147e+05	1.577414e+06	262428
DC	Tucson_19	Tucson_2	3.283597e+05	1.568699e+06	262428
DC	Tucson_19	Tucson_3	2.948763e+05	1.581352e+06	262428
DC	Tucson_19	Tucson_4	2.948367e+05	1.581385e+06	262428
DC	Tucson_19	Tucson_5	3.025118e+05	1.566425e+06	262428
DC	Tucson_19	Tucson_6	3.047797e+05	1.573550e+06	262428
DC	Tucson_19	Tucson_7	3.433435e+05	1.560014e+06	262428
DC	Tucson_19	Tucson_8	2.893998e+05	1.576686e+06	262428
DC	Tucson_19	Tucson_9	2.944406e+05	1.573072e+06	262428
DC	Tucson_19	Tucson_10	2.978672e+05	1.568173e+06	262428
DC	Tucson_19	Tucson_11	3.085826e+05	1.566812e+06	262428
DC	Tucson_19	Tucson_12	2.768918e+05	1.578775e+06	262428
DC	Tucson_19	Tucson_13	2.830319e+05	1.579768e+06	262428
DC	Tucson_19	Tucson_14	2.668101e+05	1.582060e+06	262428
DC	Tucson_19	Tucson_15	2.941138e+05	1.574026e+06	262428
DC	Tucson_19	Tucson_16	3.110090e+05	1.573864e+06	262428
DC	Tucson_19	Tucson_17	3.021553e+05	1.574853e+06	262428
DC	Tucson_19	Tucson_18	2.812691e+05	1.581905e+06	262428
DC	Tucson_20	Tucson_1	3.111476e+05	1.571755e+06	262428
