# This file was produced by bcftools (1.10.2-128-gd1b74cd+htslib-1.10.2-137-g34ba6c7), the command line was:
# 	 bcftools gtcheck  all_strains_biallelic_SNPs_no_missing.recode.vcf.gz
# and the working directory was:
# 	 /Users/clairedubin/cocci/popgen/popgen_paper/isolate_and_pop_info
#
INFO	Time required to process one record .. 0.000013 seconds
# DC, discordance:
#     - query sample
#     - genotyped sample
#     - discordance (number of mismatches; smaller is better)
#     - negative log of HWE probability at matching sites (rare genotypes mataches are more informative, bigger is better)
#     - number of sites compared (bigger is better)
#DC	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]-log P(HWE)	[6]Number of sites compared
DC	Sonora_2	Tucson_14	3.339749e+05	1.553515e+06	262428
DC	Sonora_2	Tucson_15	3.173471e+05	1.555193e+06	262428
DC	Sonora_2	Tucson_16	3.323805e+05	1.554839e+06	262428
DC	Sonora_2	Tucson_17	3.360645e+05	1.553828e+06	262428
DC	Sonora_2	Tucson_18	3.328459e+05	1.557550e+06	262428
DC	Sonora_2	Tucson_19	3.366488e+05	1.553945e+06	262428
DC	Sonora_2	Tucson_20	3.295184e+05	1.553130e+06	262428
DC	Sonora_2	Tucson_21	3.367875e+05	1.553816e+06	262428
DC	Sonora_2	Tucson_22	3.335590e+05	1.552262e+06	262428
DC	Sonora_2	Tucson_23	3.406795e+05	1.552012e+06	262428
DC	Sonora_2	San_Antonio_1	3.393227e+05	1.551821e+06	262428
DC	Sonora_2	Colorado_Springs_1	3.193179e+05	1.552637e+06	262428
DC	Sonora_2	Sonora_1	3.338561e+05	1.556029e+06	262428
DC	Coahuila_2	Tucson_1	3.409469e+05	1.568822e+06	262428
DC	Coahuila_2	Tucson_2	3.624372e+05	1.563097e+06	262428
DC	Coahuila_2	Tucson_3	3.374708e+05	1.574118e+06	262428
DC	Coahuila_2	Tucson_4	3.374312e+05	1.574151e+06	262428
DC	Coahuila_2	Tucson_5	3.502957e+05	1.558204e+06	262428
DC	Coahuila_2	Tucson_6	3.481070e+05	1.566078e+06	262428
DC	Coahuila_2	Tucson_7	3.618529e+05	1.556617e+06	262428
DC	Coahuila_2	Tucson_8	3.392237e+05	1.568319e+06	262428
DC	Coahuila_2	Tucson_9	3.296867e+05	1.567031e+06	262428
DC	Coahuila_2	Tucson_10	3.640515e+05	1.556770e+06	262428
DC	Coahuila_2	Tucson_11	3.242597e+05	1.564618e+06	262428
DC	Coahuila_2	Tucson_12	3.468592e+05	1.566674e+06	262428
DC	Coahuila_2	Tucson_13	3.484636e+05	1.568366e+06	262428
DC	Coahuila_2	Tucson_14	3.441061e+05	1.567585e+06	262428
DC	Coahuila_2	Tucson_15	3.365696e+05	1.566716e+06	262428
DC	Coahuila_2	Tucson_16	3.429276e+05	1.568411e+06	262428
DC	Coahuila_2	Tucson_17	3.305285e+05	1.570568e+06	262428
DC	Coahuila_2	Tucson_18	3.466215e+05	1.570769e+06	262428
DC	Coahuila_2	Tucson_19	3.387781e+05	1.569203e+06	262428
DC	Coahuila_2	Tucson_20	3.530587e+05	1.564391e+06	262428
DC	Coahuila_2	Tucson_21	3.420264e+05	1.568515e+06	262428
DC	Coahuila_2	Tucson_22	3.436109e+05	1.565834e+06	262428
DC	Coahuila_2	Tucson_23	3.411252e+05	1.567761e+06	262428
DC	Coahuila_2	San_Antonio_1	1.948818e+05	1.594977e+06	262428
DC	Coahuila_2	Colorado_Springs_1	3.467008e+05	1.562586e+06	262428
DC	Coahuila_2	Sonora_1	1.713514e+05	1.603512e+06	262428
DC	Coahuila_2	Sonora_2	3.376689e+05	1.554051e+06	262428
DC	Phoenix_1	Tucson_1	2.913309e+05	1.576141e+06	262428
DC	Phoenix_1	Tucson_2	3.269435e+05	1.568225e+06	262428
DC	Phoenix_1	Tucson_3	2.935592e+05	1.580870e+06	262428
DC	Phoenix_1	Tucson_4	2.935196e+05	1.580903e+06	262428
DC	Phoenix_1	Tucson_5	3.067802e+05	1.564699e+06	262428
DC	Phoenix_1	Tucson_6	3.002935e+05	1.573846e+06	262428
DC	Phoenix_1	Tucson_7	3.576737e+05	1.556423e+06	262428
DC	Phoenix_1	Tucson_8	2.861217e+05	1.576388e+06	262428
DC	Phoenix_1	Tucson_9	2.873399e+05	1.573407e+06	262428
DC	Phoenix_1	Tucson_10	2.926679e+05	1.568417e+06	262428
DC	Phoenix_1	Tucson_11	3.092660e+05	1.565938e+06	262428
DC	Phoenix_1	Tucson_12	2.886471e+05	1.575724e+06	262428
DC	Phoenix_1	Tucson_13	2.827843e+05	1.579030e+06	262428
DC	Phoenix_1	Tucson_14	2.658297e+05	1.580748e+06	262428
DC	Phoenix_1	Tucson_15	2.999667e+05	1.572195e+06	262428
DC	Phoenix_1	Tucson_16	3.153565e+05	1.572289e+06	262428
DC	Phoenix_1	Tucson_17	2.934701e+05	1.575732e+06	262428
DC	Phoenix_1	Tucson_18	2.769413e+05	1.582101e+06	262428
DC	Phoenix_1	Tucson_19	2.578278e+05	1.582843e+06	262428
DC	Phoenix_1	Tucson_20	3.147524e+05	1.570226e+06	262428
DC	Phoenix_1	Tucson_21	2.786051e+05	1.578881e+06	262428
DC	Phoenix_1	Tucson_22	3.005114e+05	1.572263e+06	262428
DC	Phoenix_1	Tucson_23	2.710488e+05	1.578826e+06	262428
DC	Phoenix_1	San_Antonio_1	3.518703e+05	1.564076e+06	262428
DC	Phoenix_1	Colorado_Springs_1	3.011452e+05	1.569620e+06	262428
DC	Phoenix_1	Sonora_1	3.508008e+05	1.567602e+06	262428
DC	Phoenix_1	Sonora_2	3.457897e+05	1.551563e+06	262428
DC	Phoenix_1	Coahuila_2	3.438981e+05	1.567427e+06	262428
DC	Phoenix_2	Tucson_1	2.868645e+05	1.576017e+06	262428
DC	Phoenix_2	Tucson_2	3.317466e+05	1.566037e+06	262428
DC	Phoenix_2	Tucson_3	3.034527e+05	1.577915e+06	262428
DC	Phoenix_2	Tucson_4	3.034131e+05	1.577948e+06	262428
DC	Phoenix_2	Tucson_5	3.117814e+05	1.562464e+06	262428
DC	Phoenix_2	Tucson_6	3.050174e+05	1.571207e+06	262428
DC	Phoenix_2	Tucson_7	3.459976e+05	1.557499e+06	262428
DC	Phoenix_2	Tucson_8	2.933413e+05	1.573828e+06	262428
DC	Phoenix_2	Tucson_9	2.854285e+05	1.572622e+06	262428
DC	Phoenix_2	Tucson_10	2.989367e+05	1.565928e+06	262428
DC	Phoenix_2	Tucson_11	3.151189e+05	1.563716e+06	262428
DC	Phoenix_2	Tucson_12	2.747923e+05	1.577127e+06	262428
DC	Phoenix_2	Tucson_13	2.759014e+05	1.578946e+06	262428
DC	Phoenix_2	Tucson_14	2.732275e+05	1.577931e+06	262428
DC	Phoenix_2	Tucson_15	2.967679e+05	1.571668e+06	262428
DC	Phoenix_2	Tucson_16	3.145544e+05	1.571136e+06	262428
DC	Phoenix_2	Tucson_17	3.074041e+05	1.571948e+06	262428
DC	Phoenix_2	Tucson_18	2.792686e+05	1.580025e+06	262428
DC	Phoenix_2	Tucson_19	2.659981e+05	1.580508e+06	262428
DC	Phoenix_2	Tucson_20	3.249034e+05	1.567087e+06	262428
DC	Phoenix_2	Tucson_21	2.851710e+05	1.576352e+06	262428
DC	Phoenix_2	Tucson_22	2.893502e+05	1.573314e+06	262428
DC	Phoenix_2	Tucson_23	2.714944e+05	1.577632e+06	262428
DC	Phoenix_2	San_Antonio_1	3.499986e+05	1.563058e+06	262428
DC	Phoenix_2	Colorado_Springs_1	2.925193e+05	1.570013e+06	262428
DC	Phoenix_2	Sonora_1	3.506720e+05	1.566410e+06	262428
DC	Phoenix_2	Sonora_2	3.385899e+05	1.551561e+06	262428
DC	Phoenix_2	Coahuila_2	3.478694e+05	1.565473e+06	262428
DC	Phoenix_2	Phoenix_1	2.686225e+05	1.578838e+06	262428
DC	Phoenix_3	Tucson_1	2.797043e+05	1.579353e+06	262428
DC	Phoenix_3	Tucson_2	3.270425e+05	1.568832e+06	262428
DC	Phoenix_3	Tucson_3	2.804669e+05	1.583892e+06	262428
DC	Phoenix_3	Tucson_4	2.804273e+05	1.583925e+06	262428
DC	Phoenix_3	Tucson_5	3.020860e+05	1.566539e+06	262428
DC	Phoenix_3	Tucson_6	3.141978e+05	1.571695e+06	262428
DC	Phoenix_3	Tucson_7	3.523259e+05	1.558018e+06	262428
DC	Phoenix_3	Tucson_8	2.832101e+05	1.577850e+06	262428
DC	Phoenix_3	Tucson_9	2.810017e+05	1.575748e+06	262428
DC	Phoenix_3	Tucson_10	3.062949e+05	1.566450e+06	262428
DC	Phoenix_3	Tucson_11	2.952031e+05	1.569440e+06	262428
DC	Phoenix_3	Tucson_12	2.760698e+05	1.578954e+06	262428
DC	Phoenix_3	Tucson_13	2.878746e+05	1.578603e+06	262428
DC	Phoenix_3	Tucson_14	2.748814e+05	1.579577e+06	262428
DC	Phoenix_3	Tucson_15	3.045024e+05	1.572025e+06	262428
DC	Phoenix_3	Tucson_16	3.072754e+05	1.574478e+06	262428
DC	Phoenix_3	Tucson_17	2.895681e+05	1.577291e+06	262428
DC	Phoenix_3	Tucson_18	2.887659e+05	1.580310e+06	262428
DC	Phoenix_3	Tucson_19	2.775157e+05	1.579857e+06	262428
DC	Phoenix_3	Tucson_20	3.223384e+05	1.569362e+06	262428
DC	Phoenix_3	Tucson_21	2.799915e+05	1.579146e+06	262428
DC	Phoenix_3	Tucson_22	2.944307e+05	1.574365e+06	262428
DC	Phoenix_3	Tucson_23	2.654633e+05	1.581083e+06	262428
DC	Phoenix_3	San_Antonio_1	3.384810e+05	1.566914e+06	262428
DC	Phoenix_3	Colorado_Springs_1	2.899345e+05	1.572510e+06	262428
DC	Phoenix_3	Sonora_1	3.368568e+05	1.570578e+06	262428
DC	Phoenix_3	Sonora_2	3.364210e+05	1.553832e+06	262428
DC	Phoenix_3	Coahuila_2	3.318358e+05	1.570234e+06	262428
DC	Phoenix_3	Phoenix_1	2.683749e+05	1.580646e+06	262428
DC	Phoenix_3	Phoenix_2	2.719500e+05	1.578996e+06	262428
DC	Phoenix_4	Tucson_1	2.859336e+05	1.576163e+06	262428
DC	Phoenix_4	Tucson_2	3.312119e+05	1.566367e+06	262428
DC	Phoenix_4	Tucson_3	3.023831e+05	1.578030e+06	262428
DC	Phoenix_4	Tucson_4	3.023435e+05	1.578063e+06	262428
DC	Phoenix_4	Tucson_5	2.899544e+05	1.567539e+06	262428
DC	Phoenix_4	Tucson_6	3.118507e+05	1.570105e+06	262428
DC	Phoenix_4	Tucson_7	3.584759e+05	1.555205e+06	262428
DC	Phoenix_4	Tucson_8	2.926877e+05	1.574057e+06	262428
DC	Phoenix_4	Tucson_9	2.763174e+05	1.574419e+06	262428
DC	Phoenix_4	Tucson_10	2.998874e+05	1.565903e+06	262428
DC	Phoenix_4	Tucson_11	3.098899e+05	1.564690e+06	262428
DC	Phoenix_4	Tucson_12	2.859435e+05	1.575216e+06	262428
DC	Phoenix_4	Tucson_13	2.848145e+05	1.577449e+06	262428
DC	Phoenix_4	Tucson_14	2.802985e+05	1.576670e+06	262428
DC	Phoenix_4	Tucson_15	2.994616e+05	1.571548e+06	262428
DC	Phoenix_4	Tucson_16	3.163172e+05	1.571058e+06	262428
DC	Phoenix_4	Tucson_17	2.950447e+05	1.574352e+06	262428
DC	Phoenix_4	Tucson_18	2.925787e+05	1.577989e+06	262428
DC	Phoenix_4	Tucson_19	2.762976e+05	1.578446e+06	262428
DC	Phoenix_4	Tucson_20	3.360942e+05	1.564980e+06	262428
DC	Phoenix_4	Tucson_21	2.749309e+05	1.578744e+06	262428
DC	Phoenix_4	Tucson_22	2.931928e+05	1.572464e+06	262428
DC	Phoenix_4	Tucson_23	2.837548e+05	1.575426e+06	262428
DC	Phoenix_4	San_Antonio_1	3.394416e+05	1.564842e+06	262428
DC	Phoenix_4	Colorado_Springs_1	3.028189e+05	1.568349e+06	262428
DC	Phoenix_4	Sonora_1	3.378768e+05	1.568417e+06	262428
DC	Phoenix_4	Sonora_2	3.400754e+05	1.551443e+06	262428
DC	Phoenix_4	Coahuila_2	3.360051e+05	1.567466e+06	262428
DC	Phoenix_4	Phoenix_1	2.663447e+05	1.579521e+06	262428
DC	Phoenix_4	Phoenix_2	2.789121e+05	1.575658e+06	262428
DC	Phoenix_4	Phoenix_3	2.787635e+05	1.577552e+06	262428
DC	Phoenix_5	Tucson_1	3.008778e+05	1.575216e+06	262428
DC	Phoenix_5	Tucson_2	3.303503e+05	1.568235e+06	262428
DC	Phoenix_5	Tucson_3	2.798727e+05	1.584399e+06	262428
DC	Phoenix_5	Tucson_4	2.798331e+05	1.584431e+06	262428
DC	Phoenix_5	Tucson_5	3.070773e+05	1.565298e+06	262428
DC	Phoenix_5	Tucson_6	3.088500e+05	1.572623e+06	262428
DC	Phoenix_5	Tucson_7	3.432346e+05	1.559591e+06	262428
DC	Phoenix_5	Tucson_8	2.990160e+05	1.574998e+06	262428
DC	Phoenix_5	Tucson_9	2.996003e+05	1.572071e+06	262428
DC	Phoenix_5	Tucson_10	2.929650e+05	1.568751e+06	262428
DC	Phoenix_5	Tucson_11	3.067109e+05	1.566966e+06	262428
DC	Phoenix_5	Tucson_12	2.810215e+05	1.577892e+06	262428
DC	Phoenix_5	Tucson_13	2.910833e+05	1.578239e+06	262428
DC	Phoenix_5	Tucson_14	2.756737e+05	1.579404e+06	262428
DC	Phoenix_5	Tucson_15	2.899444e+05	1.575388e+06	262428
DC	Phoenix_5	Tucson_16	3.068792e+05	1.574376e+06	262428
DC	Phoenix_5	Tucson_17	2.961836e+05	1.576058e+06	262428
DC	Phoenix_5	Tucson_18	2.776940e+05	1.582480e+06	262428
DC	Phoenix_5	Tucson_19	2.729205e+05	1.580866e+06	262428
DC	Phoenix_5	Tucson_20	3.180404e+05	1.570071e+06	262428
DC	Phoenix_5	Tucson_21	2.910833e+05	1.577503e+06	262428
DC	Phoenix_5	Tucson_22	2.926481e+05	1.574321e+06	262428
DC	Phoenix_5	Tucson_23	2.790705e+05	1.578092e+06	262428
DC	Phoenix_5	San_Antonio_1	3.421848e+05	1.566136e+06	262428
DC	Phoenix_5	Colorado_Springs_1	2.971442e+05	1.571019e+06	262428
DC	Phoenix_5	Sonora_1	3.396099e+05	1.569986e+06	262428
DC	Phoenix_5	Sonora_2	3.305384e+05	1.554824e+06	262428
DC	Phoenix_5	Coahuila_2	3.358962e+05	1.569266e+06	262428
DC	Phoenix_5	Phoenix_1	2.696029e+05	1.580740e+06	262428
DC	Phoenix_5	Phoenix_2	2.785456e+05	1.577597e+06	262428
DC	Phoenix_5	Phoenix_3	2.695435e+05	1.581176e+06	262428
DC	Phoenix_5	Phoenix_4	2.728809e+05	1.579392e+06	262428
DC	Phoenix_6	Tucson_1	3.011155e+05	1.575767e+06	262428
DC	Phoenix_6	Tucson_2	3.251015e+05	1.569640e+06	262428
DC	Phoenix_6	Tucson_3	2.956389e+05	1.581788e+06	262428
DC	Phoenix_6	Tucson_4	2.955993e+05	1.581820e+06	262428
DC	Phoenix_6	Tucson_5	3.097710e+05	1.565359e+06	262428
DC	Phoenix_6	Tucson_6	3.087906e+05	1.573399e+06	262428
DC	Phoenix_6	Tucson_7	3.485824e+05	1.559012e+06	262428
DC	Phoenix_6	Tucson_8	2.915290e+05	1.576641e+06	262428
DC	Phoenix_6	Tucson_9	2.931234e+05	1.573645e+06	262428
DC	Phoenix_6	Tucson_10	2.949457e+05	1.568990e+06	262428
DC	Phoenix_6	Tucson_11	3.073843e+05	1.567225e+06	262428
DC	Phoenix_6	Tucson_12	2.865278e+05	1.577326e+06	262428
DC	Phoenix_6	Tucson_13	2.864486e+05	1.579384e+06	262428
DC	Phoenix_6	Tucson_14	2.673548e+05	1.581799e+06	262428
DC	Phoenix_6	Tucson_15	3.026802e+05	1.573201e+06	262428
DC	Phoenix_6	Tucson_16	3.102068e+05	1.574191e+06	262428
DC	Phoenix_6	Tucson_17	2.951140e+05	1.576702e+06	262428
DC	Phoenix_6	Tucson_18	2.753964e+05	1.583573e+06	262428
DC	Phoenix_6	Tucson_19	2.692959e+05	1.582250e+06	262428
DC	Phoenix_6	Tucson_20	3.212887e+05	1.569868e+06	262428
DC	Phoenix_6	Tucson_21	2.889442e+05	1.577949e+06	262428
DC	Phoenix_6	Tucson_22	2.876964e+05	1.575765e+06	262428
DC	Phoenix_6	Tucson_23	2.789319e+05	1.578511e+06	262428
DC	Phoenix_6	San_Antonio_1	3.472157e+05	1.566172e+06	262428
DC	Phoenix_6	Colorado_Springs_1	2.889640e+05	1.572738e+06	262428
DC	Phoenix_6	Sonora_1	3.461660e+05	1.569623e+06	262428
DC	Phoenix_6	Sonora_2	3.367181e+05	1.554263e+06	262428
DC	Phoenix_6	Coahuila_2	3.422541e+05	1.568951e+06	262428
DC	Phoenix_6	Phoenix_1	2.529058e+05	1.584704e+06	262428
DC	Phoenix_6	Phoenix_2	2.790210e+05	1.578038e+06	262428
DC	Phoenix_6	Phoenix_3	2.775256e+05	1.580430e+06	262428
DC	Phoenix_6	Phoenix_4	2.712171e+05	1.579918e+06	262428
DC	Phoenix_6	Phoenix_5	2.675034e+05	1.582525e+06	262428
DC	Phoenix_7	Tucson_1	2.982732e+05	1.571018e+06	262428
DC	Phoenix_7	Tucson_2	3.231109e+05	1.565036e+06	262428
DC	Phoenix_7	Tucson_3	3.131184e+05	1.573124e+06	262428
DC	Phoenix_7	Tucson_4	3.130788e+05	1.573157e+06	262428
DC	Phoenix_7	Tucson_5	3.098205e+05	1.559813e+06	262428
DC	Phoenix_7	Tucson_6	3.171193e+05	1.565985e+06	262428
DC	Phoenix_7	Tucson_7	3.462947e+05	1.554218e+06	262428
DC	Phoenix_7	Tucson_8	2.986297e+05	1.570425e+06	262428
DC	Phoenix_7	Tucson_9	2.937870e+05	1.568232e+06	262428
DC	Phoenix_7	Tucson_10	3.050174e+05	1.561770e+06	262428
DC	Phoenix_7	Tucson_11	3.055126e+05	1.562551e+06	262428
DC	Phoenix_7	Tucson_12	3.034131e+05	1.568955e+06	262428
DC	Phoenix_7	Tucson_13	2.968966e+05	1.572240e+06	262428
DC	Phoenix_7	Tucson_14	2.986594e+05	1.570389e+06	262428
DC	Phoenix_7	Tucson_15	2.967481e+05	1.568994e+06	262428
DC	Phoenix_7	Tucson_16	3.058394e+05	1.569927e+06	262428
DC	Phoenix_7	Tucson_17	3.055621e+05	1.569541e+06	262428
DC	Phoenix_7	Tucson_18	2.889739e+05	1.575900e+06	262428
DC	Phoenix_7	Tucson_19	2.974512e+05	1.571248e+06	262428
DC	Phoenix_7	Tucson_20	3.199517e+05	1.565004e+06	262428
DC	Phoenix_7	Tucson_21	2.743763e+05	1.576082e+06	262428
DC	Phoenix_7	Tucson_22	3.092759e+05	1.566728e+06	262428
DC	Phoenix_7	Tucson_23	2.928065e+05	1.570832e+06	262428
DC	Phoenix_7	San_Antonio_1	3.431653e+05	1.561316e+06	262428
DC	Phoenix_7	Colorado_Springs_1	2.997884e+05	1.566057e+06	262428
DC	Phoenix_7	Sonora_1	3.395010e+05	1.565127e+06	262428
DC	Phoenix_7	Sonora_2	3.269039e+05	1.550857e+06	262428
DC	Phoenix_7	Coahuila_2	3.384810e+05	1.563950e+06	262428
DC	Phoenix_7	Phoenix_1	3.010660e+05	1.569722e+06	262428
DC	Phoenix_7	Phoenix_2	3.006995e+05	1.568540e+06	262428
DC	Phoenix_7	Phoenix_3	3.030268e+05	1.570025e+06	262428
DC	Phoenix_7	Phoenix_4	2.908358e+05	1.570609e+06	262428
DC	Phoenix_7	Phoenix_5	3.015611e+05	1.570142e+06	262428
DC	Phoenix_7	Phoenix_6	2.997389e+05	1.571036e+06	262428
DC	Phoenix_8	Tucson_1	2.836558e+05	1.578656e+06	262428
DC	Phoenix_8	Tucson_2	3.262008e+05	1.569048e+06	262428
DC	Phoenix_8	Tucson_3	2.926382e+05	1.581935e+06	262428
DC	Phoenix_8	Tucson_4	2.925986e+05	1.581968e+06	262428
DC	Phoenix_8	Tucson_5	3.038587e+05	1.565937e+06	262428
DC	Phoenix_8	Tucson_6	3.060275e+05	1.573101e+06	262428
DC	Phoenix_8	Tucson_7	3.486913e+05	1.558886e+06	262428
DC	Phoenix_8	Tucson_8	2.854384e+05	1.577366e+06	262428
DC	Phoenix_8	Tucson_9	2.834280e+05	1.575214e+06	262428
DC	Phoenix_8	Tucson_10	2.868744e+05	1.570068e+06	262428
DC	Phoenix_8	Tucson_11	3.057106e+05	1.567251e+06	262428
DC	Phoenix_8	Tucson_12	2.861415e+05	1.576889e+06	262428
DC	Phoenix_8	Tucson_13	2.716628e+05	1.581729e+06	262428
DC	Phoenix_8	Tucson_14	2.683749e+05	1.580809e+06	262428
DC	Phoenix_8	Tucson_15	2.955399e+05	1.574041e+06	262428
DC	Phoenix_8	Tucson_16	3.122766e+05	1.573474e+06	262428
DC	Phoenix_8	Tucson_17	2.895978e+05	1.577276e+06	262428
DC	Phoenix_8	Tucson_18	2.665130e+05	1.584503e+06	262428
DC	Phoenix_8	Tucson_19	2.670082e+05	1.581835e+06	262428
DC	Phoenix_8	Tucson_20	3.121082e+05	1.571509e+06	262428
DC	Phoenix_8	Tucson_21	2.675628e+05	1.581773e+06	262428
DC	Phoenix_8	Tucson_22	2.881816e+05	1.575398e+06	262428
DC	Phoenix_8	Tucson_23	2.595510e+05	1.582135e+06	262428
DC	Phoenix_8	San_Antonio_1	3.459778e+05	1.566038e+06	262428
DC	Phoenix_8	Colorado_Springs_1	2.931730e+05	1.571999e+06	262428
DC	Phoenix_8	Sonora_1	3.458194e+05	1.569347e+06	262428
DC	Phoenix_8	Sonora_2	3.409271e+05	1.553270e+06	262428
DC	Phoenix_8	Coahuila_2	3.428979e+05	1.568618e+06	262428
DC	Phoenix_8	Phoenix_1	2.439432e+05	1.585379e+06	262428
DC	Phoenix_8	Phoenix_2	2.568077e+05	1.581521e+06	262428
DC	Phoenix_8	Phoenix_3	2.689196e+05	1.581188e+06	262428
DC	Phoenix_8	Phoenix_4	2.537179e+05	1.583065e+06	262428
DC	Phoenix_8	Phoenix_5	2.673548e+05	1.582031e+06	262428
DC	Phoenix_8	Phoenix_6	2.566394e+05	1.584326e+06	262428
DC	Phoenix_8	Phoenix_7	2.833290e+05	1.573815e+06	262428
DC	Phoenix_9	Tucson_1	2.903604e+05	1.574551e+06	262428
DC	Phoenix_9	Tucson_2	3.293797e+05	1.565633e+06	262428
DC	Phoenix_9	Tucson_3	2.957577e+05	1.578178e+06	262428
DC	Phoenix_9	Tucson_4	2.957181e+05	1.578211e+06	262428
DC	Phoenix_9	Tucson_5	3.062256e+05	1.562641e+06	262428
DC	Phoenix_9	Tucson_6	3.086321e+05	1.570314e+06	262428
DC	Phoenix_9	Tucson_7	3.531776e+05	1.555038e+06	262428
DC	Phoenix_9	Tucson_8	2.946783e+05	1.572648e+06	262428
DC	Phoenix_9	Tucson_9	2.921133e+05	1.570124e+06	262428
DC	Phoenix_9	Tucson_10	3.035220e+05	1.564070e+06	262428
DC	Phoenix_9	Tucson_11	3.125539e+05	1.563014e+06	262428
DC	Phoenix_9	Tucson_12	3.028288e+05	1.571120e+06	262428
DC	Phoenix_9	Tucson_13	2.973621e+05	1.573968e+06	262428
DC	Phoenix_9	Tucson_14	2.832200e+05	1.575213e+06	262428
DC	Phoenix_9	Tucson_15	3.047995e+05	1.569224e+06	262428
DC	Phoenix_9	Tucson_16	3.155348e+05	1.570165e+06	262428
DC	Phoenix_9	Tucson_17	2.958469e+05	1.573127e+06	262428
DC	Phoenix_9	Tucson_18	2.886273e+05	1.577726e+06	262428
DC	Phoenix_9	Tucson_19	2.730592e+05	1.578311e+06	262428
DC	Phoenix_9	Tucson_20	3.301621e+05	1.565243e+06	262428
DC	Phoenix_9	Tucson_21	2.953814e+05	1.573518e+06	262428
DC	Phoenix_9	Tucson_22	3.059384e+05	1.569125e+06	262428
DC	Phoenix_9	Tucson_23	2.969560e+05	1.571980e+06	262428
DC	Phoenix_9	San_Antonio_1	3.512365e+05	1.561865e+06	262428
DC	Phoenix_9	Colorado_Springs_1	2.925094e+05	1.569168e+06	262428
DC	Phoenix_9	Sonora_1	3.463640e+05	1.566010e+06	262428
DC	Phoenix_9	Sonora_2	3.429177e+05	1.549914e+06	262428
DC	Phoenix_9	Coahuila_2	3.404715e+05	1.565690e+06	262428
DC	Phoenix_9	Phoenix_1	2.544309e+05	1.580812e+06	262428
DC	Phoenix_9	Phoenix_2	2.825268e+05	1.574257e+06	262428
DC	Phoenix_9	Phoenix_3	2.792092e+05	1.576864e+06	262428
DC	Phoenix_9	Phoenix_4	2.912814e+05	1.572080e+06	262428
DC	Phoenix_9	Phoenix_5	2.883599e+05	1.574939e+06	262428
DC	Phoenix_9	Phoenix_6	2.807739e+05	1.577151e+06	262428
DC	Phoenix_9	Phoenix_7	3.013036e+05	1.567504e+06	262428
DC	Phoenix_9	Phoenix_8	2.799321e+05	1.576432e+06	262428
DC	Nuevo_Leon_1	Tucson_1	3.524051e+05	1.561951e+06	262428
DC	Nuevo_Leon_1	Tucson_2	3.590998e+05	1.558625e+06	262428
DC	Nuevo_Leon_1	Tucson_3	3.420561e+05	1.568428e+06	262428
DC	Nuevo_Leon_1	Tucson_4	3.420165e+05	1.568461e+06	262428
DC	Nuevo_Leon_1	Tucson_5	3.526230e+05	1.552875e+06	262428
DC	Nuevo_Leon_1	Tucson_6	3.541778e+05	1.560103e+06	262428
DC	Nuevo_Leon_1	Tucson_7	3.621798e+05	1.551734e+06	262428
DC	Nuevo_Leon_1	Tucson_8	3.498302e+05	1.561575e+06	262428
DC	Nuevo_Leon_1	Tucson_9	3.430464e+05	1.559967e+06	262428
DC	Nuevo_Leon_1	Tucson_10	3.659827e+05	1.551496e+06	262428
DC	Nuevo_Leon_1	Tucson_11	3.315189e+05	1.558630e+06	262428
DC	Nuevo_Leon_1	Tucson_12	3.478000e+05	1.561569e+06	262428
DC	Nuevo_Leon_1	Tucson_13	3.456213e+05	1.563915e+06	262428
DC	Nuevo_Leon_1	Tucson_14	3.464136e+05	1.562226e+06	262428
DC	Nuevo_Leon_1	Tucson_15	3.423433e+05	1.560992e+06	262428
DC	Nuevo_Leon_1	Tucson_16	3.488597e+05	1.562376e+06	262428
DC	Nuevo_Leon_1	Tucson_17	3.444428e+05	1.562993e+06	262428
DC	Nuevo_Leon_1	Tucson_18	3.480377e+05	1.565725e+06	262428
DC	Nuevo_Leon_1	Tucson_19	3.426107e+05	1.563626e+06	262428
DC	Nuevo_Leon_1	Tucson_20	3.513455e+05	1.559548e+06	262428
DC	Nuevo_Leon_1	Tucson_21	3.488102e+05	1.562481e+06	262428
DC	Nuevo_Leon_1	Tucson_22	3.453044e+05	1.560610e+06	262428
DC	Nuevo_Leon_1	Tucson_23	3.414916e+05	1.562687e+06	262428
DC	Nuevo_Leon_1	San_Antonio_1	2.163425e+05	1.586558e+06	262428
DC	Nuevo_Leon_1	Colorado_Springs_1	3.456807e+05	1.557873e+06	262428
DC	Nuevo_Leon_1	Sonora_1	2.137478e+05	1.589799e+06	262428
DC	Nuevo_Leon_1	Sonora_2	3.358566e+05	1.549471e+06	262428
DC	Nuevo_Leon_1	Coahuila_2	2.263944e+05	1.585720e+06	262428
DC	Nuevo_Leon_1	Phoenix_1	3.537322e+05	1.560981e+06	262428
DC	Nuevo_Leon_1	Phoenix_2	3.489092e+05	1.560382e+06	262428
DC	Nuevo_Leon_1	Phoenix_3	3.473544e+05	1.562623e+06	262428
DC	Nuevo_Leon_1	Phoenix_4	3.459778e+05	1.560899e+06	262428
DC	Nuevo_Leon_1	Phoenix_5	3.410162e+05	1.563442e+06	262428
DC	Nuevo_Leon_1	Phoenix_6	3.396892e+05	1.564509e+06	262428
