"Table S1: SRA accesion number, isolate identifier, species and origin of isolation for each strain used for phylogenomics and population genetic analyses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRA accesion number,Isolate ID,Species,Country of isolation,Publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468051,Sonora_1,Coccidioides posadasii,Mexico,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468052,Sonora_2,Coccidioides posadasii,Mexico,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468033,Tucson_10,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468034,Tucson_11,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468035,Tucson_12,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468036,Tucson_13,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468037,Tucson_14,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468039,Tucson_15,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468040,Tucson_16,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468041,Tucson_17,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468042,Tucson_18,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468043,Tucson_19,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468044,Tucson_20,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468045,Tucson_21,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468046,Tucson_22,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468047,Tucson_23,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468073,Tucson_24,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468032,Tucson_9,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468031,Tucson_8,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468030,Tucson_7,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
